id,name,description,category,price,image,quantity,age,gender,company,holiday,cognitive_development,motor_skills_development,social_development,emotional_development,language_and_literacy
314,Outdoor Explorer Adventure Kit,Explore the great outdoors with the Outdoor Explorer Adventure Kit,Science and Nature,24.99,outdoor_explorer_adventure_kit.jpg,20,5,Male,Fat Brain Toys,Thanksgiving,4,3,5,2,1
315,Robot Squad Coding Adventure,Learn coding with the Robot Squad Coding Adventure,STEM Toys,35.99,robot_squad_coding_adventure.jpg,15,9,Male,Moose Toys,Thanksgiving,5,5,3,2,1
316,Superhero Training Headquarters,Train to be a superhero in the Superhero Training Headquarters,Pretend Play,42.5,superhero_training_headquarters.jpg,25,8,Male,Toy State,Thanksgiving,4,3,5,2,1
317,Enchanted Forest Fairy Dolls,Enter an enchanted forest with these fairy dolls,Dolls and Accessories,29.75,enchanted_forest_fairy_dolls.jpg,18,8,Female,PlaSmart,Easter,3,2,4,1,5
318,Construction Crew Bulldozer Builder,Build with the Construction Crew Bulldozer Builder set,Educational,26.5,construction_crew_bulldozer_builder.jpg,30,5,Male,Moose Toys,Easter,3,2,4,1,5
319,Smart Explorer Interactive Globe,Explore the world with the Smart Explorer Interactive Globe,Science and Nature,38.75,smart_explorer_interactive_globe.jpg,15,6,Male,Mukikim,Easter,4,3,2,1,5
320,Princess Tea Party Castle,Host royal tea parties in the Princess Tea Party Castle,Pretend Play,33.95,princess_tea_party_castle.jpg,20,8,Female,Learning Resources,Easter,4,3,5,2,1
321,Ultimate Raceway Car Track Set,Experience the thrill with the Ultimate Raceway Car Track Set,Sports and Outdoor Games,48.5,ultimate_raceway_car_track_set.jpg,18,4,Male,Toy State,Easter,4,5,3,2,1
322,Magic Science Potion Kit,Brew magical potions with the Magic Science Potion Kit,STEM Toys,23.99,magic_science_potion_kit.jpg,25,6,Male,Edushape,Christmas,3,4,2,1,5
323,Farmyard Friends Animal Barn,Play with adorable animals in the Farmyard Friends Animal Barn,Stuffed Animals,31.25,farmyard_friends_animal_barn.jpg,18,3,Male,Blue Orange Games,Christmas,2,1,4,3,5
324,Robotics Engineer DIY Kit,Build your own robots with the Robotics Engineer DIY Kit,STEM Toys,36.99,robotics_engineer_diy_kit.jpg,25,9,Male,Bratz,New Year,5,5,3,2,1
325,Safari Adventure Play Tent,Embark on a safari adventure in this play tent,Outdoor Play,29.99,safari_adventure_play_tent.jpg,15,8,Male,Tuttle Publishing,Easter,4,3,5,2,1
326,Penguin Pals Igloo Building Set,Create an igloo home with the Penguin Pals Igloo Building Set,Educational,25.5,penguin_pals_igloo_building_set.jpg,30,5,Male,Zing Toys,Christmas,3,2,4,1,5
327,Rocket Launch Astronaut Set,Experience space travel with the Rocket Launch Astronaut Set,Science and Nature,34.75,rocket_launch_astronaut_set.jpg,25,4,Male,Just Play,Christmas,3,2,4,1,5
328,Puppy Love Plush Adoption Center,Adopt and care for plush puppies in the Puppy Love Adoption Center,Stuffed Animals,28.5,puppy_love_plush_adoption_center.jpg,20,8,Female,Micro Kickboard,Easter,3,4,2,1,5
329,Creative Art Easel Studio,Unleash creativity with the Creative Art Easel Studio,Arts and Crafts,39.99,creative_art_easel_studio.jpg,25,4,Male,Kangaroo Manufacturing,Christmas,3,2,4,1,5
330,Super Spy Detective Kit,Become a super spy with the Detective Kit,Pretend Play,22.99,super_spy_detective_kit.jpg,15,5,Male,Fat Brain Toys,New Year,4,3,5,2,1
331,Retro Gamer Console Vault,Secure your retro games in the Gamer Console Vault,Electronics,42.95,retro_gamer_console_vault.jpg,20,6,Male,Patch Products,Thanksgiving,5,5,3,2,1
332,Enchanted Treehouse Adventure,Embark on magical adventures in the Enchanted Treehouse,Pretend Play,31.75,enchanted_treehouse_adventure.jpg,25,8,Male,Redwood Ventures,New Year,4,3,5,2,1
333,Musical Symphony Orchestra Set,Conduct a symphony with the Musical Symphony Orchestra Set,Musical Toys,45.5,musical_symphony_orchestra_set.jpg,18,4,Male,Hexbug,Christmas,3,4,2,1,5
334,Robot Buddy Interactive Companion,Make friends with the Robot Buddy Interactive Companion,Interactive Toys,26.99,robot_buddy_interactive_companion.jpg,15,7,Male,Thames & Kosmos,New Year,3,2,4,1,5
335,Jungle Safari Animal Exploration,Explore the jungle with the Safari Animal Exploration set,Science and Nature,29.95,jungle_safari_animal_exploration.jpg,20,7,Male,Carrera,Christmas,4,3,2,1,5
336,Majestic Jungle Explorer Kit,Embark on a wild journey with the Majestic Jungle Explorer Kit,Outdoor Play,29.99,majestic_jungle_explorer_kit.jpg,15,4,Male,Skyrocket Toys,New Year,4,3,5,2,1
337,Penguin Parade Igloo Playset,Join a cute penguin parade in the Penguin Parade Igloo Playset,Pretend Play,19.99,penguin_parade_igloo_playset.jpg,25,8,Male,4M,Thanksgiving,3,2,4,1,5
338,Funky Beat Dance Mat,Dance to the funky beat with this interactive Dance Mat,Music and Arts,45.5,funky_beat_dance_mat.jpg,18,9,Male,Uncle Milton,New Year,3,4,2,1,5
339,Dino Dig Adventure Excavator,Unearth dinosaur fossils with the Dino Dig Adventure Excavator,Educational,24.75,dino_dig_adventure_excavator.jpg,30,6,Male,International Playthings,New Year,4,5,3,2,1
340,Fairytale Princess Dress-Up Trunk,Transform into a fairytale princess with this Dress-Up Trunk,Pretend Play,32.5,fairytale_princess_dress_up_trunk.jpg,15,8,Female,Mudpuppy,Thanksgiving,4,3,5,2,1
341,Super Soccer Showdown Goal Set,Score goals in the Super Soccer Showdown Goal Set,Sports and Outdoor Games,22.99,super_soccer_showdown_goal_set.jpg,25,4,Male,The Learning Journey,Christmas,4,5,3,2,1
342,Robot Rangers Building Lab,Create robotic wonders with the Robot Rangers Building Lab,STEM Toys,34.95,robot_rangers_building_lab.jpg,18,9,Male,Ravensburger,New Year,5,5,3,2,1
343,Enchanted Unicorn Garden,Cultivate magic in the Enchanted Unicorn Garden playset,Pretend Play,37.25,enchanted_unicorn_garden.jpg,25,8,Female,Hasbro,Christmas,3,2,4,1,5
344,Junior Chef Cooking Academy,Become a junior chef with the Cooking Academy playset,Pretend Play,31.5,junior_chef_cooking_academy.jpg,15,5,Male,WowWee,New Year,3,4,2,1,5
345,Underwater Adventure Submarine,Explore ocean depths with the Underwater Adventure Submarine,Outdoor Play,45.99,underwater_adventure_submarine.jpg,10,8,Male,WowToyz,Thanksgiving,4,3,5,2,1
346,Construction Crew Crane Builder,Build with the Construction Crew Crane Builder set,Educational,26.99,construction_crew_crane_builder.jpg,20,5,Male,Mindscope,Christmas,3,2,4,1,5
347,Fantasy Wizard Spellbook Kit,Learn wizardry with the Fantasy Wizard Spellbook Kit,STEM Toys,37.99,fantasy_wizard_spellbook_kit.jpg,15,6,Male,Brainwright,New Year,3,4,2,1,5
348,Retro Arcade Racing Challenge,Experience retro racing with the Arcade Racing Challenge,Electronics,28.95,retro_arcade_racing_challenge.jpg,18,6,Male,Bandai,New Year,5,5,3,2,1
349,Adventure Quest Map Compass,Embark on an adventure with the Adventure Quest Map Compass,Adventure,18.25,adventure_quest_map_compass.jpg,30,5,Male,LeapFrog,Thanksgiving,4,3,5,2,1
350,Artistic Masterpiece Studio,Create masterpieces with the Artistic Masterpiece Studio,Arts and Crafts,22.75,artistic_masterpiece_studio.jpg,20,5,Female,Brainwright,Easter,3,4,2,1,5
351,Sports Pro Basketball Hoop,Shoot hoops like a pro with the Sports Pro Basketball Hoop,Sports and Outdoor Games,36.99,sports_pro_basketball_hoop.jpg,15,4,Female,Babalu,Thanksgiving,4,5,3,2,1
352,Wildlife Safari Explorer Kit,Explore wildlife with the Safari Explorer Kit,Science and Nature,38.75,wildlife_safari_explorer_kit.jpg,18,6,Female,Green Toys,Thanksgiving,4,3,2,1,5
353,Dragon's Lair Castle Playset,Conquer dragons in the Dragon's Lair Castle Playset,Pretend Play,45.95,dragons_lair_castle_playset.jpg,12,8,Male,Automoblox,New Year,4,3,5,2,1
354,DIY Science Lab Physics Kit,Experiment with the DIY Science Lab Physics Kit,STEM Toys,27.75,diy_science_lab_physics_kit.jpg,20,6,Female,Goliath Games,New Year,3,4,2,1,5
355,Racing Turbo Car Speedway,Feel the speed with the Racing Turbo Car Speedway,Sports and Outdoor Games,26.5,racing_turbo_car_speedway.jpg,18,4,Female,Tiggly,Christmas,4,5,3,2,1
356,Fairytale Castle Building Blocks,Build enchanting castles with these Building Blocks,Educational,22.99,fairytale_castle_building_blocks.jpg,25,5,Female,HearthSong,New Year,3,2,4,1,5
357,Pop Star Concert Stage,Take the stage with the Pop Star Concert Stage set,Musical Toys,28.99,pop_star_concert_stage.jpg,15,4,Female,Faber-Castell,Thanksgiving,3,4,2,1,5
358,Space Explorer Telescope Kit,Discover the cosmos with the Space Explorer Telescope Kit,Science and Nature,42.99,space_explorer_telescope_kit.jpg,10,6,Female,The Original Toy Company,New Year,4,3,2,1,5
359,Firefighter Rescue Truck Adventure,Be a hero with the Firefighter Rescue Truck Adventure,Pretend Play,28.5,firefighter_rescue_truck_adventure.jpg,25,7,Male,WowWee,Christmas,3,2,4,1,5
360,Pixel Art Creative Studio,Create digital art with the Pixel Art Creative Studio,Arts and Crafts,32.95,pixel_art_creative_studio.jpg,18,5,Female,PlaSmart,Easter,3,4,2,1,5
361,Mythical Creatures Puzzle Safari,Embark on a puzzle safari with mythical creatures,Educational,19.75,mythical_creatures_puzzle_safari.jpg,30,7,Female,Faber-Castell,Thanksgiving,3,2,4,1,5
362,Outdoor Discovery Adventure Kit,Explore the great outdoors with the Outdoor Discovery Adventure Kit,Science and Nature,24.99,outdoor_discovery_adventure_kit.jpg,20,5,Female,WowToyz,Easter,4,3,5,2,1
363,Robot Coding Squad Adventure,Learn coding with the Robot Coding Squad Adventure,STEM Toys,35.99,robot_coding_squad_adventure.jpg,15,9,Female,Lakeshore Learning Materials,Christmas,5,5,3,2,1
364,Superhero Headquarters Training Grounds,Train to be a superhero in the Superhero Headquarters Training Grounds,Pretend Play,42.5,superhero_headquarters_training_grounds.jpg,25,8,Male,Super Impulse,Easter,4,3,5,2,1
365,Enchanted Forest Friends Dolls,Enter an enchanted forest with these Friends Dolls,Dolls and Accessories,29.75,enchanted_forest_friends_dolls.jpg,18,8,Female,TY Beanie Boos,Thanksgiving,3,2,4,1,5
366,Construction Crew Excavator Builder,Build with the Construction Crew Excavator Builder set,Educational,26.5,construction_crew_excavator_builder.jpg,30,5,Female,Ideal Toy Corp.,Thanksgiving,3,2,4,1,5
367,Smart Explorer Globe Explorer,Explore the world with the Smart Explorer Globe Explorer,Science and Nature,38.75,smart_explorer_globe_explorer.jpg,15,6,Female,Small World Toys,Christmas,4,3,2,1,5
368,Princess Tea Time Castle,Host royal tea parties in the Princess Tea Time Castle,Pretend Play,33.95,princess_tea_time_castle.jpg,20,8,Female,Kangaroo Manufacturing,Thanksgiving,4,3,5,2,1
369,Ultimate Racecar Track Set,Experience the thrill with the Ultimate Racecar Track Set,Sports and Outdoor Games,48.5,ultimate_racecar_track_set.jpg,18,4,Female,Schylling,Christmas,4,5,3,2,1
370,Magic Chemistry Potion Kit,Brew magical potions with the Magic Chemistry Potion Kit,STEM Toys,23.99,magic_chemistry_potion_kit.jpg,25,6,Female,Mudpuppy,Easter,3,4,2,1,5
371,Farmyard Animal Friends Barn,Play with adorable animals in the Farmyard Animal Friends Barn,Stuffed Animals,31.25,farmyard_animal_friends_barn.jpg,18,3,Female,Duncan Toys,Christmas,2,1,4,3,5
372,Robotics Engineer Workshop,Build your own robots with the Robotics Engineer Workshop,STEM Toys,36.99,robotics_engineer_workshop.jpg,25,9,Female,Blue Orange Games,Easter,5,5,3,2,1
373,Safari Adventure Playhouse,Embark on a safari adventure in this playhouse,Outdoor Play,29.99,safari_adventure_playhouse.jpg,15,8,Female,Super Impulse,New Year,4,3,5,2,1
374,Penguin Paradise Igloo Set,Create an igloo paradise with the Penguin Paradise Igloo Set,Educational,25.5,penguin_paradise_igloo_set.jpg,30,5,Female,Iwako,New Year,3,2,4,1,5
375,Interactive Learning Tablet Deluxe,Learn and play with the Interactive Learning Tablet Deluxe,Educational,19.95,interactive_learning_tablet_deluxe.jpg,18,7,Female,Moose Toys,Easter,3,4,2,1,5
376,Astronaut Launch Expedition,Experience space travel with the Astronaut Launch Expedition,Science and Nature,34.75,astronaut_launch_expedition.jpg,25,4,Female,Geomag,New Year,3,2,4,1,5
377,Puppy Paradise Plush Adoption Center,Adopt and care for plush puppies in the Puppy Paradise Adoption Center,Stuffed Animals,28.5,puppy_paradise_plush_adoption_center.jpg,20,8,Female,Brainwright,Christmas,3,4,2,1,5
378,Creative Canvas Art Easel,Unleash creativity with the Creative Canvas Art Easel,Arts and Crafts,39.99,creative_canvas_art_easel.jpg,25,4,Female,Kid O,Christmas,3,2,4,1,5
379,Super Spy Secret Agent Kit,Become a super spy with the Secret Agent Kit,Pretend Play,22.99,super_spy_secret_agent_kit.jpg,15,5,Female,Play Visions,Thanksgiving,4,3,5,2,1
380,Undersea Explorer Submarine Adventure,Explore the ocean depths with the Undersea Explorer Submarine Adventure,Outdoor Play,37.5,undersea_explorer_submarine_adventure.jpg,18,8,Female,Geomag,Christmas,4,3,5,2,1
381,Colorful Alphabet Learning Blocks,Learn the alphabet with these Colorful Alphabet Learning Blocks,Educational,18.25,colorful_alphabet_learning_blocks.jpg,30,5,Female,Fisher-Price,Christmas,3,2,4,1,5
382,Retro Gamer Console Vault Deluxe,Secure your retro games in the Gamer Console Vault Deluxe,Electronics,42.95,retro_gamer_console_vault_deluxe.jpg,20,6,Male,Meccano,Christmas,5,5,3,2,1
383,Enchanted Treehouse Quest,Embark on magical quests in the Enchanted Treehouse Quest,Pretend Play,31.75,enchanted_treehouse_quest.jpg,25,8,Female,Rich Frog Industries,New Year,4,3,5,2,1
384,Musical Symphony Orchestra Conductor,Conduct a symphony with the Musical Symphony Orchestra Conductor,Musical Toys,45.5,musical_symphony_orchestra_conductor.jpg,18,4,Female,Crayon Rocks,New Year,3,4,2,1,5
385,Robot Companion Interactive Buddy,Make friends with the Robot Companion Interactive Buddy,Interactive Toys,26.99,robot_companion_interactive_buddy.jpg,15,7,Female,Learning Resources,Thanksgiving,3,2,4,1,5
386,Jungle Safari Animal Safari Adventure,Explore the jungle with the Safari Animal Safari Adventure set,Science and Nature,29.95,jungle_safari_animal_safari_adventure.jpg,20,7,Female,Crocodile Creek,Thanksgiving,4,3,2,1,5
387,Fantasy Castle Building Set,Build enchanting castles with this Building Set,Educational,24.75,fantasy_castle_building_set.jpg,30,5,Female,Mukikim,Christmas,3,2,4,1,5
388,RoboTech Mech Warrior Robot,Pilot a mech warrior robot with the RoboTech Mech Warrior Robot,Action Figures,36.5,robotech_mech_warrior_robot.jpg,15,6,Male,SmartLab Toys,New Year,4,5,3,2,1
389,Sparkling Galaxy Adventure Kit,Embark on a cosmic journey with the Sparkling Galaxy Adventure Kit,Science and Nature,29.99,sparkling_galaxy_adventure_kit.jpg,15,4,Female,VTech,Thanksgiving,4,3,5,2,1
390,Time Traveler Chrono Cruiser,Explore different eras with the Time Traveler Chrono Cruiser,STEM Toys,39.95,time_traveler_chrono_cruiser.jpg,20,5,Female,Sassy,New Year,4,3,2,1,5
391,Arctic Explorer Ice Fortress,Conquer icy challenges with the Arctic Explorer Ice Fortress,Pretend Play,19.99,arctic_explorer_ice_fortress.jpg,25,8,Female,Educational Insights,Christmas,3,2,4,1,5
392,Funky Groove Dance Revolution,Dance to the funky beats with the Funky Groove Dance Revolution,Music and Arts,45.5,funky_groove_dance_revolution.jpg,18,9,Female,Manhattan Toy,Easter,3,4,2,1,5
393,Dino Excavation Adventure Truck,Uncover prehistoric secrets with the Dino Excavation Adventure Truck,Educational,24.75,dino_excavation_adventure_truck.jpg,30,6,Male,PlayMonster,Easter,4,5,3,2,1
394,Enchanting Princess Wardrobe,Transform into royalty with the Enchanting Princess Wardrobe,Pretend Play,32.5,enchanting_princess_wardrobe.jpg,15,8,Female,Manhattan Toy,Easter,4,3,5,2,1
395,Soccer Pro Goal Scorer Set,Become a soccer pro with the Soccer Pro Goal Scorer Set,Sports and Outdoor Games,22.99,soccer_pro_goal_scorer_set.jpg,25,4,Female,WowToyz,Christmas,4,5,3,2,1
396,Robo Innovator Engineering Lab,Innovate with robots in the Robo Innovator Engineering Lab,STEM Toys,34.95,robo_innovator_engineering_lab.jpg,18,9,Female,Tonka,Christmas,5,5,3,2,1
397,Mystical Unicorn Fantasy Garden,Create magic in the Mystical Unicorn Fantasy Garden playset,Pretend Play,37.25,mystical_unicorn_fantasy_garden.jpg,25,8,Female,North Star Games,New Year,3,2,4,1,5
398,Young Chef Culinary School,Become a young chef at the Culinary School playset,Pretend Play,31.5,young_chef_culinary_school.jpg,15,5,Female,Play Visions,Easter,3,4,2,1,5
399,Deep Sea Explorer Submarine,Discover ocean mysteries with the Deep Sea Explorer Submarine,Outdoor Play,45.99,deep_sea_explorer_submarine.jpg,10,8,Female,Hasbro,New Year,4,3,5,2,1
400,Construction Crew Tower Crane,Build with the Construction Crew Tower Crane set,Educational,26.99,construction_crew_tower_crane.jpg,20,5,Female,Meffert's,Christmas,3,2,4,1,5
401,Fantasy Enchantress Spell Kit,Practice enchanting spells with the Fantasy Enchantress Spell Kit,STEM Toys,37.99,fantasy_enchantress_spell_kit.jpg,15,6,Female,Tonka,New Year,3,4,2,1,5
402,Retro Racing Arcade Showdown,Compete in retro racing with the Retro Racing Arcade Showdown,Electronics,28.95,retro_racing_arcade_showdown.jpg,18,6,Male,Faber-Castell,New Year,5,5,3,2,1
403,Adventure Seeker Map Compass,Embark on thrilling adventures with the Adventure Seeker Map Compass,Adventure,18.25,adventure_seeker_map_compass.jpg,30,5,Female,Learning Resources,Thanksgiving,4,3,5,2,1
404,Canvas Artistic Expression Studio,Express creativity with the Canvas Artistic Expression Studio,Arts and Crafts,22.75,canvas_artistic_expression_studio.jpg,20,5,Female,Rich Frog Industries,Christmas,3,4,2,1,5
405,Pro Basketball Dunker Hoop,Dunk like a pro with the Pro Basketball Dunker Hoop,Sports and Outdoor Games,36.99,pro_basketball_dunker_hoop.jpg,15,4,Female,Tangle Creations,Christmas,4,5,3,2,1
406,Wildlife Explorer Safari Kit,Explore wildlife with the Wildlife Explorer Safari Kit,Science and Nature,38.75,wildlife_explorer_safari_kit.jpg,18,6,Female,Mukikim,Thanksgiving,4,3,2,1,5
407,Dragon Slayer Castle Adventure,Embark on a quest in the Dragon Slayer Castle Adventure,Pretend Play,45.95,dragon_slayer_castle_adventure.jpg,12,8,Male,Gamewright,New Year,4,3,5,2,1
408,DIY Science Lab Quantum Physics,Experiment with quantum physics in the DIY Science Lab Quantum Physics kit,STEM Toys,27.75,diy_science_lab_quantum_physics.jpg,20,6,Female,Uncle Milton,New Year,3,4,2,1,5
409,Turbo Racing Car Speedway,Feel the speed with the Turbo Racing Car Speedway,Sports and Outdoor Games,26.5,turbo_racing_car_speedway.jpg,18,4,Female,Top Trumps,Thanksgiving,4,5,3,2,1
410,Fairytale Kingdom Building Blocks,Build a fairytale kingdom with these Building Blocks,Educational,22.99,fairytale_kingdom_building_blocks.jpg,25,5,Female,Fat Brain Toys,New Year,3,2,4,1,5
411,Pop Star Concert Grand Stage,Take the grand stage with the Pop Star Concert Grand Stage,Musical Toys,28.99,pop_star_concert_grand_stage.jpg,15,4,Female,Bruder,Easter,3,4,2,1,5
412,Firefighter Rescue Truck Heroes,Be a hero with the Firefighter Rescue Truck Heroes set,Pretend Play,28.5,firefighter_rescue_truck_heroes.jpg,25,7,Male,TOMY,Thanksgiving,3,2,4,1,5
413,Pixel Art Master Creative Studio,Create digital masterpieces with the Pixel Art Master Creative Studio,Arts and Crafts,32.95,pixel_art_master_creative_studio.jpg,18,5,Female,Jazwares,Thanksgiving,3,4,2,1,5
414,Outdoor Discovery Adventure Expedition,Explore the great outdoors with the Outdoor Discovery Adventure Expedition,Science and Nature,24.99,outdoor_discovery_adventure_expedition.jpg,20,5,Female,Hexbug,Thanksgiving,4,3,5,2,1
415,Robot Coding Squad Adventure Quest,Learn coding with the Robot Coding Squad Adventure Quest,STEM Toys,35.99,robot_coding_squad_adventure_quest.jpg,15,9,Female,Small World Toys,New Year,5,5,3,2,1
416,Superhero Headquarters Training Grounds Deluxe,Train to be a superhero in the Superhero Headquarters Training Grounds Deluxe,Pretend Play,42.5,superhero_headquarters_training_grounds_deluxe.jpg,25,8,Male,Zuru,New Year,4,3,5,2,1
417,Enchanted Forest Friends Dollhouse,Enter an enchanted forest with the Enchanted Forest Friends Dollhouse,Dolls and Accessories,29.75,enchanted_forest_friends_dollhouse.jpg,18,8,Female,PlayMonster,Easter,3,2,4,1,5
418,Construction Crew Tower Crane Builder Deluxe,Build with the Construction Crew Tower Crane Builder Deluxe set,Educational,26.5,construction_crew_tower_crane_builder_deluxe.jpg,30,5,Female,Alex Toys,Easter,3,2,4,1,5
419,Smart Explorer Globe Explorer Plus,Explore the world with the Smart Explorer Globe Explorer Plus,Science and Nature,38.75,smart_explorer_globe_explorer_plus.jpg,15,6,Female,Gamewright,Thanksgiving,4,3,2,1,5
420,Princess Tea Time Castle Deluxe,Host royal tea parties in the Princess Tea Time Castle Deluxe,Pretend Play,33.95,princess_tea_time_castle_deluxe.jpg,20,8,Female,Rich Frog Industries,Easter,4,3,5,2,1
421,Ultimate Racecar Track Set Extreme,Experience extreme thrills with the Ultimate Racecar Track Set Extreme,Sports and Outdoor Games,48.5,ultimate_racecar_track_set_extreme.jpg,18,4,Female,Manhattan Toy,Christmas,4,5,3,2,1
422,Magic Chemistry Potion Kit Supreme,Brew magical potions with the Magic Chemistry Potion Kit Supreme,STEM Toys,23.99,magic_chemistry_potion_kit_supreme.jpg,25,6,Female,Crayola,New Year,3,4,2,1,5
423,Farmyard Animal Friends Barn Deluxe,Play with adorable animals in the Farmyard Animal Friends Barn Deluxe,Stuffed Animals,31.25,farmyard_animal_friends_barn_deluxe.jpg,18,3,Female,Brainwright,New Year,2,1,4,3,5
424,Robotics Engineer Workshop Pro,Build your own robots with the Robotics Engineer Workshop Pro,STEM Toys,36.99,robotics_engineer_workshop_pro.jpg,25,9,Female,Anki,New Year,5,5,3,2,1
425,Penguin Paradise Igloo Set Deluxe,Create an igloo paradise with the Penguin Paradise Igloo Set Deluxe,Educational,25.5,penguin_paradise_igloo_set_deluxe.jpg,30,5,Female,Radio Flyer,Christmas,3,2,4,1,5
426,Interactive Learning Tablet Deluxe Pro,Learn and play with the Interactive Learning Tablet Deluxe Pro,Educational,19.95,interactive_learning_tablet_deluxe_pro.jpg,18,7,Female,Manhattan Toy,Thanksgiving,3,4,2,1,5
427,Astronaut Launch Expedition Ultimate,Experience space travel with the Astronaut Launch Expedition Ultimate,Science and Nature,34.75,astronaut_launch_expedition_ultimate.jpg,25,4,Female,Toy Biz,Christmas,3,2,4,1,5
428,Puppy Paradise Plush Adoption Center Deluxe,Adopt and care for plush puppies in the Puppy Paradise Adoption Center Deluxe,Stuffed Animals,28.5,puppy_paradise_plush_adoption_center_deluxe.jpg,20,8,Female,Winning Moves Games,New Year,3,4,2,1,5
429,Creative Canvas Art Easel Pro,Unleash creativity with the Creative Canvas Art Easel Pro,Arts and Crafts,39.99,creative_canvas_art_easel_pro.jpg,25,4,Female,Jakks Pacific,Christmas,3,2,4,1,5
430,Super Spy Secret Agent Kit Master,Become a super spy with the Secret Agent Kit Master,Pretend Play,22.99,super_spy_secret_agent_kit_master.jpg,15,5,Female,Mindscope,Thanksgiving,4,3,5,2,1
431,Undersea Explorer Submarine Adventure Supreme,Explore the ocean depths with the Undersea Explorer Submarine Adventure Supreme,Outdoor Play,37.5,undersea_explorer_submarine_adventure_supreme.jpg,18,8,Female,Playmobil,Christmas,4,3,5,2,1
432,Colorful Alphabet Learning Blocks Ultimate,Learn the alphabet with these Colorful Alphabet Learning Blocks Ultimate,Educational,18.25,colorful_alphabet_learning_blocks_ultimate.jpg,30,5,Female,GoldieBlox,Easter,3,2,4,1,5
433,Retro Gamer Console Vault Deluxe Pro,Secure your retro games in the Gamer Console Vault Deluxe Pro,Electronics,42.95,retro_gamer_console_vault_deluxe_pro.jpg,20,6,Male,Quercetti,Thanksgiving,5,5,3,2,1
434,Enchanted Treehouse Quest Supreme,Embark on magical quests in the Enchanted Treehouse Quest Supreme,Pretend Play,31.75,enchanted_treehouse_quest_supreme.jpg,25,8,Female,PlaSmart,Easter,4,3,5,2,1
435,Musical Symphony Orchestra Conductor Pro,Conduct a symphony with the Musical Symphony Orchestra Conductor Pro,Musical Toys,45.5,musical_symphony_orchestra_conductor_pro.jpg,18,4,Female,Safari Ltd.,Thanksgiving,3,4,2,1,5
436,Robot Companion Interactive Buddy Master,Make friends with the Robot Companion Interactive Buddy Master,Interactive Toys,26.99,robot_companion_interactive_buddy_master.jpg,15,7,Female,Mukikim,Thanksgiving,3,2,4,1,5
437,RoboCraft Engineering Set,Unleash creativity with the RoboCraft Engineering Set,STEM Toys,29.99,robo_craft_engineering_set.jpg,15,5,Female,PicassoTiles,New Year,4,3,5,2,1
438,Starship Galaxy Explorer,Embark on a cosmic adventure with the Starship Galaxy Explorer,Science and Nature,39.95,starship_galaxy_explorer.jpg,20,6,Female,Meccano,New Year,4,3,2,1,5
439,Arctic Adventure Base Camp,Conquer icy challenges with the Arctic Adventure Base Camp,Outdoor Play,19.99,arctic_adventure_base_camp.jpg,25,4,Female,Zing Toys,Thanksgiving,3,2,4,1,5
440,Electric Groove Dance Mat,Dance to the electric beats with the Electric Groove Dance Mat,Music and Arts,45.5,electric_groove_dance_mat.jpg,18,4,Female,Alex Toys,Easter,3,4,2,1,5
441,Dino Explorer Dig Kit,Uncover prehistoric wonders with the Dino Explorer Dig Kit,Educational,24.75,dino_explorer_dig_kit.jpg,30,6,Male,Hape,New Year,4,5,3,2,1
442,Enchanted Princess Castle,Rule your kingdom with the Enchanted Princess Castle,Pretend Play,32.5,enchanted_princess_castle.jpg,15,8,Female,Mudpuppy,Easter,4,3,5,2,1
443,Super Striker Soccer Set,Become a soccer star with the Super Striker Soccer Set,Sports and Outdoor Games,22.99,super_striker_soccer_set.jpg,25,4,Female,Hexbug,Thanksgiving,4,5,3,2,1
444,Inventor's Robotics Lab,Invent and build with the Inventor's Robotics Lab,STEM Toys,34.95,inventors_robotics_lab.jpg,18,9,Female,Carrera,Easter,5,5,3,2,1
445,Majestic Unicorn Palace,Create magic in the Majestic Unicorn Palace playset,Pretend Play,37.25,majestic_unicorn_palace.jpg,25,8,Female,Quercetti,Thanksgiving,3,2,4,1,5
446,Little Chef Cooking Playset,Become a little chef with the Cooking Playset,Pretend Play,31.5,little_chef_cooking_playset.jpg,15,5,Female,Mudpuppy,Thanksgiving,3,4,2,1,5
447,Deep Space Explorer Rocket,Launch into deep space with the Deep Space Explorer Rocket,Science and Nature,45.99,deep_space_explorer_rocket.jpg,10,5,Female,Nerf,Christmas,4,3,5,2,1
448,Builder's Construction Zone,Build and construct with the Builder's Construction Zone,Educational,26.99,builders_construction_zone.jpg,20,8,Female,Mudpuppy,New Year,3,2,4,1,5
449,Magical Sorcerer's Kit,Learn mystical arts with the Magical Sorcerer's Kit,STEM Toys,37.99,magical_sorcerers_kit.jpg,15,6,Female,Hexbug,Thanksgiving,3,4,2,1,5
450,Retro Gaming Arcade Console,Experience retro gaming with the Arcade Console,Electronics,28.95,retro_gaming_arcade_console.jpg,18,6,Male,Lakeshore Learning Materials,Christmas,5,5,3,2,1
451,Explorer's Adventure Compass,Embark on exciting adventures with the Explorer's Adventure Compass,Adventure,18.25,explorers_adventure_compass.jpg,30,5,Female,Skyrocket Toys,Christmas,4,3,5,2,1
452,Artistic Mastermind Studio,Create masterpieces with the Artistic Mastermind Studio,Arts and Crafts,22.75,artistic_mastermind_studio.jpg,20,5,Female,Learning Resources,Thanksgiving,3,4,2,1,5
